timestamp,source_ip,username,event_type,destination_port,geo_location
2026-08-18 15:00:05,192.0.2.212,alice,login_failed,8080,CN
2026-08-18 15:00:09,192.0.2.250,bob,login_success,3389,IN
2026-08-18 15:00:39,192.0.2.234,bob,login_success,3389,DE
2026-08-18 15:00:47,192.0.2.195,frank,login_success,49394,IN
2026-08-18 15:00:58,192.0.2.243,frank,login_failed,8080,US
2026-08-18 15:01:20,192.0.2.40,carol,login_success,43003,JP
2026-08-18 15:01:21,192.0.2.223,mallory,login_failed,7128,JP
2026-08-18 15:01:32,192.0.2.71,mallory,login_failed,8080,IN
2026-08-18 15:01:41,192.0.2.117,mallory,login_success,80,US
2026-08-18 15:02:00,192.0.2.116,mallory,login_failed,3389,CN
2026-08-18 15:02:01,192.0.2.132,frank,login_failed,3389,JP
2026-08-18 15:02:05,192.0.2.110,alice,login_success,44410,BR
2026-08-18 15:02:21,192.0.2.250,frank,login_success,8080,CN
2026-08-18 15:02:32,192.0.2.10,eve,login_success,22,IN
2026-08-18 15:02:38,192.0.2.81,bob,login_failed,47698,CN
2026-08-18 15:02:48,192.0.2.90,frank,login_success,22,US
2026-08-18 15:03:08,192.0.2.156,dave,login_success,39615,JP
2026-08-18 15:03:20,192.0.2.47,mallory,login_success,3389,US
2026-08-18 15:03:53,192.0.2.148,eve,login_success,3389,CN
2026-08-18 15:03:53,192.0.2.51,mallory,login_success,443,BR
2026-08-18 15:03:56,192.0.2.141,carol,login_success,8080,JP
2026-08-18 15:04:20,192.0.2.40,mallory,login_success,80,BR
2026-08-18 15:04:24,192.0.2.179,carol,login_failed,3389,CN
2026-08-18 15:05:03,192.0.2.77,eve,login_success,443,IN
2026-08-18 15:05:11,192.0.2.176,eve,login_failed,80,DE
2026-08-18 15:05:18,192.0.2.180,mallory,login_success,22,JP
2026-08-18 15:05:23,192.0.2.26,dave,login_failed,3389,US
2026-08-18 15:05:25,192.0.2.184,mallory,login_success,22,IN
2026-08-18 15:05:45,192.0.2.1,eve,login_failed,80,IN
2026-08-18 15:05:45,192.0.2.26,carol,login_success,8080,BR
2026-08-18 15:05:53,192.0.2.121,dave,login_success,8080,CN
2026-08-18 15:06:41,192.0.2.147,carol,login_success,443,DE
2026-08-18 15:06:44,192.0.2.75,dave,login_success,6574,BR
2026-08-18 15:06:48,192.0.2.146,mallory,login_failed,80,JP
2026-08-18 15:07:00,192.0.2.221,eve,login_failed,3389,JP
2026-08-18 15:07:35,192.0.2.158,bob,login_failed,22,CN
2026-08-18 15:07:36,192.0.2.68,eve,login_success,25179,CN
2026-08-18 15:07:57,192.0.2.87,mallory,login_success,22,DE
2026-08-18 15:08:32,192.0.2.226,dave,login_success,80,US
2026-08-18 15:08:34,192.0.2.37,frank,login_failed,3389,DE
2026-08-18 15:08:40,192.0.2.234,frank,login_success,22,BR
2026-08-18 15:08:50,192.0.2.78,carol,login_success,22,CN
2026-08-18 15:08:53,192.0.2.30,frank,login_success,80,JP
2026-08-18 15:09:51,192.0.2.156,alice,login_success,8080,CN
2026-08-18 15:10:02,192.0.2.97,eve,login_failed,22,IN
2026-08-18 15:10:09,192.0.2.161,frank,login_success,8080,JP
2026-08-18 15:10:11,192.0.2.31,frank,login_failed,22,IN
2026-08-18 15:10:13,192.0.2.54,eve,login_success,443,US
2026-08-18 15:10:16,192.0.2.199,dave,login_failed,80,US
2026-08-18 15:10:22,192.0.2.66,bob,login_failed,36990,BR
2026-08-18 15:10:26,192.0.2.59,bob,login_failed,80,CN
2026-08-18 15:10:40,192.0.2.220,mallory,login_success,22,IN
2026-08-18 15:10:49,192.0.2.196,dave,login_success,443,BR
2026-08-18 15:10:52,192.0.2.15,mallory,login_failed,8080,IN
2026-08-18 15:11:12,192.0.2.219,bob,login_success,3389,IN
2026-08-18 15:11:54,192.0.2.30,bob,login_failed,49440,JP
2026-08-18 15:11:58,192.0.2.213,frank,login_success,8080,CN
2026-08-18 15:11:58,192.0.2.151,eve,login_success,25048,CN
2026-08-18 15:11:58,192.0.2.38,eve,login_failed,22,BR
2026-08-18 15:12:08,192.0.2.82,dave,login_success,8080,US
2026-08-18 15:12:34,192.0.2.151,eve,login_failed,443,CN
2026-08-18 15:12:41,192.0.2.146,mallory,login_success,80,IN
2026-08-18 15:12:58,192.0.2.118,frank,login_success,22,US
2026-08-18 15:13:07,192.0.2.152,mallory,login_success,443,DE
2026-08-18 15:13:48,198.51.100.42,admin,login_failed,22,US
2026-08-18 15:13:48,192.0.2.98,bob,login_success,80,IN
2026-08-18 15:14:01,192.0.2.238,carol,login_success,3389,JP
2026-08-18 15:14:09,192.0.2.247,eve,login_success,22,BR
2026-08-18 15:14:38,192.0.2.218,mallory,login_success,80,BR
2026-08-18 15:14:43,192.0.2.233,dave,login_success,22,US
2026-08-18 15:15:29,192.0.2.21,alice,login_failed,8080,IN
2026-08-18 15:15:42,192.0.2.75,carol,login_success,80,IN
2026-08-18 15:15:48,192.0.2.47,carol,login_failed,443,IN
2026-08-18 15:15:58,192.0.2.24,bob,login_failed,443,BR
2026-08-18 15:16:05,192.0.2.242,eve,login_failed,80,IN
2026-08-18 15:16:06,192.0.2.196,carol,login_failed,3389,IN
2026-08-18 15:16:56,192.0.2.244,bob,login_success,8080,DE
2026-08-18 15:17:06,192.0.2.154,mallory,login_success,443,JP
2026-08-18 15:17:09,192.0.2.221,carol,login_success,443,CN
2026-08-18 15:17:16,192.0.2.70,dave,login_success,80,IN
2026-08-18 15:17:18,192.0.2.24,dave,login_success,3389,US
2026-08-18 15:17:19,192.0.2.74,dave,login_success,9899,CN
2026-08-18 15:17:19,192.0.2.85,alice,login_failed,80,US
2026-08-18 15:17:21,192.0.2.8,alice,login_success,8080,US
2026-08-18 15:17:31,192.0.2.207,carol,login_success,80,BR
2026-08-18 15:17:35,192.0.2.208,frank,login_success,22,DE
2026-08-18 15:17:41,192.0.2.155,bob,login_success,443,IN
2026-08-18 15:17:47,192.0.2.129,carol,login_success,80,JP
2026-08-18 15:17:51,192.0.2.71,bob,login_success,3389,BR
2026-08-18 15:17:54,192.0.2.204,frank,login_success,3389,US
2026-08-18 15:17:56,192.0.2.46,eve,login_success,443,CN
2026-08-18 15:18:45,192.0.2.154,carol,login_success,22,IN
2026-08-18 15:18:55,192.0.2.73,eve,login_success,443,US
2026-08-18 15:19:00,192.0.2.216,frank,login_success,22,CN
2026-08-18 15:19:20,192.0.2.240,dave,login_failed,3389,US
2026-08-18 15:19:25,192.0.2.166,bob,login_success,3389,BR
2026-08-18 15:19:36,192.0.2.159,alice,login_success,443,DE
2026-08-18 15:20:05,192.0.2.72,dave,login_failed,8080,DE
2026-08-18 15:20:12,192.0.2.52,bob,login_success,443,IN
2026-08-18 15:20:24,192.0.2.97,frank,login_success,8080,US
2026-08-18 15:20:36,192.0.2.118,carol,login_success,443,BR
2026-08-18 15:20:37,192.0.2.3,carol,login_success,80,IN
2026-08-18 15:20:40,192.0.2.146,dave,login_failed,8080,JP
2026-08-18 15:21:28,192.0.2.248,dave,login_success,20610,JP
2026-08-18 15:21:31,192.0.2.141,dave,login_failed,3389,IN
2026-08-18 15:21:31,192.0.2.80,mallory,login_success,443,CN
2026-08-18 15:21:42,192.0.2.64,eve,login_success,3389,CN
2026-08-18 15:21:46,192.0.2.175,carol,login_success,22,JP
2026-08-18 15:21:47,192.0.2.167,carol,login_success,8080,CN
2026-08-18 15:22:16,192.0.2.114,carol,login_failed,3389,JP
2026-08-18 15:22:24,192.0.2.151,frank,login_failed,13667,JP
2026-08-18 15:22:48,192.0.2.2,eve,login_success,8080,US
2026-08-18 15:22:55,192.0.2.130,alice,login_success,80,IN
2026-08-18 15:23:43,192.0.2.187,dave,login_success,3389,US
2026-08-18 15:23:50,192.0.2.62,mallory,login_success,58863,BR
2026-08-18 15:23:53,192.0.2.34,bob,login_failed,80,CN
2026-08-18 15:24:02,192.0.2.107,eve,login_success,443,BR
2026-08-18 15:24:19,192.0.2.27,eve,login_success,3389,DE
2026-08-18 15:24:43,192.0.2.22,dave,login_failed,443,BR
2026-08-18 15:24:54,192.0.2.137,bob,login_success,80,IN
2026-08-18 15:25:03,192.0.2.3,mallory,login_success,80,IN
2026-08-18 15:25:06,192.0.2.121,carol,login_success,80,US
2026-08-18 15:25:25,192.0.2.237,alice,login_success,8080,BR
2026-08-18 15:25:39,192.0.2.238,dave,login_success,63722,IN
2026-08-18 15:26:04,192.0.2.62,dave,login_success,3389,US
2026-08-18 15:26:14,192.0.2.81,alice,login_failed,443,IN
2026-08-18 15:26:26,192.0.2.12,alice,login_success,3389,US
2026-08-18 15:26:29,192.0.2.196,alice,login_success,56241,DE
2026-08-18 15:26:34,192.0.2.13,carol,login_success,58848,CN
2026-08-18 15:26:35,192.0.2.63,frank,login_success,80,BR
2026-08-18 15:26:44,192.0.2.174,carol,login_success,22,JP
2026-08-18 15:26:47,192.0.2.234,eve,login_failed,443,DE
2026-08-18 15:26:55,192.0.2.191,dave,login_failed,443,US
2026-08-18 15:27:38,192.0.2.75,dave,login_failed,80,DE
2026-08-18 15:27:44,192.0.2.24,frank,login_success,22,US
2026-08-18 15:27:49,192.0.2.98,dave,login_success,46909,DE
2026-08-18 15:27:56,192.0.2.146,eve,login_success,443,US
2026-08-18 15:28:01,192.0.2.108,carol,login_success,3389,IN
2026-08-18 15:28:03,192.0.2.65,mallory,login_success,22,JP
2026-08-18 15:28:05,192.0.2.248,carol,login_success,22,BR
2026-08-18 15:28:09,192.0.2.29,dave,login_success,22,IN
2026-08-18 15:28:11,192.0.2.169,carol,login_failed,22,IN
2026-08-18 15:28:12,192.0.2.78,alice,login_success,443,CN
2026-08-18 15:28:25,192.0.2.42,dave,login_failed,22,DE
